ticker,event_ticker,market_result,yes_count,yes_total_cost,no_count,no_total_cost,revenue,settled_time,fee_cost,value
KXBTC15M-26JAN161945-45,KXBTC15M-26JAN161945,yes,5,400,5,290,0,2026-01-17T00:46:44.957596Z,0.1600,100
KXBTC15M-26JAN161930-30,KXBTC15M-26JAN161930,no,5,147,7,462,200,2026-01-17T00:31:54.952746Z,0.2200,0
KXBTC15M-26JAN161900-00,KXBTC15M-26JAN161900,yes,0,0,5,91,0,2026-01-17T00:02:05.058835Z,0.0800,100
KXBTC15M-26JAN161845-45,KXBTC15M-26JAN161845,no,0,0,3,154,300,2026-01-16T23:46:45.009526Z,0.0600,0
KXBTC15M-26JAN161830-30,KXBTC15M-26JAN161830,yes,4,200,0,0,400,2026-01-16T23:31:55.008559Z,0.0800,100
KXBTC15M-26JAN161815-15,KXBTC15M-26JAN161815,no,0,0,5,280,500,2026-01-16T23:17:35.06187Z,0.1000,0
KXBTC15M-26JAN161800-00,KXBTC15M-26JAN161800,yes,0,0,5,89,0,2026-01-16T23:02:05.012508Z,0.0600,100
KXBTC15M-26JAN161745-45,KXBTC15M-26JAN161745,no,5,48,0,0,0,2026-01-16T22:46:45.058723Z,0.0500,0
KXBTC15M-26JAN161730-30,KXBTC15M-26JAN161730,yes,0,0,5,227,0,2026-01-16T22:31:55.01076Z,0.1000,100
KXBTC15M-26JAN161715-15,KXBTC15M-26JAN161715,no,0,0,5,335,500,2026-01-16T22:16:45.006934Z,0.0900,0
KXBTC15M-26JAN161700-00,KXBTC15M-26JAN161700,no,0,0,5,312,500,2026-01-16T22:01:55.111637Z,0.1000,0
KXBTC15M-26JAN161645-45,KXBTC15M-26JAN161645,yes,5,360,5,255,0,2026-01-16T21:46:54.957563Z,0.1800,100
KXBTC15M-26JAN161630-30,KXBTC15M-26JAN161630,no,0,0,5,302,500,2026-01-16T21:31:54.133485Z,0.1000,0
