ticker,tte_bucket,side,p_cal,entry_price,fee,ev,min_edge,win,gross_pnl,pnl,y_true
KXBTC15M-26JAN180845-45,360,YES,0.700308,0.663,0.02,0.03730800000000001,0.025,1,0.33699999999999997,0.31699999999999995,1
KXBTC15M-26JAN180900-00,360,YES,0.4903,0.443,0.02,0.04730000000000001,0.025,0,-0.443,-0.463,0
KXBTC15M-26JAN180915-15,320,YES,0.383657,0.363,0.02,0.02065700000000004,0.01,1,0.637,0.617,1
KXBTC15M-26JAN180930-30,360,YES,0.508225,0.463,0.02,0.045225000000000015,0.025,0,-0.463,-0.48300000000000004,0
KXBTC15M-26JAN180945-45,180,YES,0.190982,0.163,0.01,0.02798200000000001,0.01,0,-0.163,-0.17300000000000001,0
KXBTC15M-26JAN181000-00,360,YES,0.186669,0.10300000000000001,0.01,0.083669,0.025,0,-0.10300000000000001,-0.113,0
KXBTC15M-26JAN181015-15,340,YES,0.823678,0.773,0.02,0.050678,0.01,1,0.22699999999999998,0.207,1
KXBTC15M-26JAN181030-30,360,YES,0.876202,0.8130000000000001,0.02,0.06320199999999998,0.025,1,0.18699999999999994,0.16699999999999995,1
KXBTC15M-26JAN181130-30,240,YES,0.31969,0.253,0.02,0.06668999999999997,0.01,0,-0.253,-0.273,0
KXBTC15M-26JAN181145-45,360,YES,0.838452,0.723,0.02,0.115452,0.025,1,0.277,0.257,1
KXBTC15M-26JAN181200-00,360,YES,0.588188,0.523,0.02,0.06518800000000002,0.025,0,-0.523,-0.543,0
KXBTC15M-26JAN181215-15,360,YES,0.877724,0.843,0.01,0.03472399999999998,0.025,1,0.15700000000000003,0.14700000000000002,1
KXBTC15M-26JAN181245-45,360,YES,0.161652,0.113,0.01,0.04865199999999999,0.025,0,-0.113,-0.123,0
KXBTC15M-26JAN181300-00,360,YES,0.709782,0.673,0.02,0.03678199999999998,0.025,1,0.32699999999999996,0.30699999999999994,1
KXBTC15M-26JAN181315-15,360,YES,0.436346,0.243,0.02,0.19334600000000002,0.025,0,-0.243,-0.263,0
KXBTC15M-26JAN181330-30,360,YES,0.344175,0.193,0.02,0.151175,0.025,1,0.8069999999999999,0.7869999999999999,1
KXBTC15M-26JAN181345-45,360,YES,0.490667,0.333,0.02,0.157667,0.025,0,-0.333,-0.35300000000000004,0
KXBTC15M-26JAN181415-15,340,YES,0.696276,0.583,0.02,0.11327600000000004,0.01,0,-0.583,-0.603,0
KXBTC15M-26JAN181430-30,360,YES,0.656275,0.5630000000000001,0.02,0.093275,0.025,1,0.43699999999999994,0.4169999999999999,1
KXBTC15M-26JAN181445-45,360,YES,0.666906,0.583,0.02,0.08390600000000004,0.025,0,-0.583,-0.603,0
KXBTC15M-26JAN181500-00,340,YES,0.114081,0.083,0.01,0.031081,0.01,0,-0.083,-0.093,0
KXBTC15M-26JAN181800-00,160,YES,0.833558,0.723,0.02,0.11055800000000005,0.01,1,0.277,0.257,1
KXBTC15M-26JAN181845-45,360,YES,0.723249,0.463,0.02,0.260249,0.025,0,-0.463,-0.48300000000000004,0
KXBTC15M-26JAN181930-30,360,YES,0.866382,0.583,0.02,0.283382,0.025,1,0.41700000000000004,0.397,1
